MaTruong,TenTruong,DiaChi,SĐT,Website,TinhThanh,MaNganh,TenNganh,ChiTieu,DiemChuan,DVChuQuan
BVH,Học viện Công nghệ Bưu chính Viễn thông,"122 Hoàng Quốc Việt, Q.Cầu Giấy, Hà Nội",24.33512252,ptit.edu.vn,Hà Nội,7480201,Công nghệ thông tin,650,22,Bộ Thông Tin Và Truyền Thông 
BVH,Học viện Công nghệ Bưu chính Viễn thông,"123 Hoàng Quốc Việt, Q.Cầu Giấy, Hà Nội",24.33512252,ptit.edu.vn,Hà Nội,7480202,An toàn thông tin,250,20.8,Bộ Thông Tin Và Truyền Thông 
BVS,Học viện Công nghệ Bưu chính Viễn thông - Cơ sở 2,"11 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",2838297220,hcm.ptit.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,210,20.25,Bộ Thông Tin Và Truyền Thông 
BVS,Học viện Công nghệ Bưu chính Viễn thông - Cơ sở 2,"12 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",2838297220,hcm.ptit.edu.vn,TP. Hồ Chí Minh,7480202,An toàn thông tin,80,19,Bộ Thông Tin Và Truyền Thông 
BVU,Trường Đại học Bà Rịa - Vũng Tàu,"80 Trương Công Định, Phường 3, Tp. Vũng Tàu, Bà Rịa-Vũng Tàu",0254 730 5456,bvu.edu.vn,Bà Rịa-Vũng Tàu,7480201,Công nghệ thông tin,150,15.5,Bộ Giáo Dục Và Đào Tạo
DAD,Trường Đại học Đông Á,"33 Xô Viết Nghệ Tỉnh, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",(0236)35919991,donga.edu.vn,Đà Nẵng,7480201,Công nghệ thông tin,60,14,Bộ Giáo Dục Và Đào Tạo
DBD,Trường Đại học Bình Dương,"504 Đại lộ Bình Dương, Phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương",(0274) 3822 058,www.bdu.edu.vn,Bình Dương,7480201,Công nghệ thông tin,90,13.5,Bộ Giáo Dục Và Đào Tạo
DBH,Trường Đại học Quốc tế Bắc Hà,"Thị trấn Lim, huyện Tiên Du, Bắc Ninh",2466896600,www.bhiu.edu.vn,Bắc Ninh,7480201,Công nghệ thông tin,30,15.5,Bộ Giáo Dục Và Đào Tạo
DBL,Trường Đại học Bạc Liêu,"Số 178, đường Võ Thị Sáu, phường 8, thành phố Bạc Liêu, Bạc Liêu",02913 822 653,blu.edu.vn,Bạc Liêu,7480201,Công nghệ thông tin,60,15,UBND Tỉnh Bạc Liêu
DCA,Trường Đại học Chu Văn An,"Khu Đô thị đại học Phố Hiến, phường Hiến Nam, TP Hưng Yên, Hưng Yên",02213.515.587,www.cvauni.edu.vn,Hưng Yên,7480201,Công nghệ thông tin,40,15,Bộ Giáo Dục Và Đào Tạo
DCD,Trường Đại học Công nghệ Đồng Nai,"Đường Nguyễn Khuyến, KP5, phường Trảng Dài, TP. Biên Hòa, Đồng Nai",0251 3996 473,dntu.edu.vn,Đồng Nai,7480201,Công nghệ thông tin,200,14,Bộ Giáo Dục Và Đào Tạo
DCL,Trường Đại học Cửu Long,"QL 1A, Phú Quới, Long Hồ, Vĩnh Long",02703 831155,www.mku.edu.vn,Vĩnh Long,7480201,Công nghệ thông tin,80,13,Bộ Giáo Dục Và Đào Tạo
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",2437655121,www.haui.edu.vn,TP. Hà Nội,7480101,Khoa học máy tính,120,18.75,Bộ Công Thương
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",2437655121,www.haui.edu.vn,TP. Hà Nội,7480101_QT,Khoa học máy tính (LK với ĐH Frostburg),20,16.85,Bộ Công Thương
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",2437655121,www.haui.edu.vn,TP. Hà Nội,7480102,Mạng máy tính và truyền thông dữ liệu,70,16.6,Bộ Công Thương
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",2437655121,www.haui.edu.vn,TP. Hà Nội,7480103,Kỹ thuật phần mềm,220,18.95,Bộ Công Thương
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",2437655121,www.haui.edu.vn,TP. Hà Nội,7480104,Hệ thống thông tin,120,18,Bộ Công Thương
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",2437655121,www.haui.edu.vn,TP. Hà Nội,7480108,Công nghệ kỹ thuật máy tính,130,18.3,Bộ Công Thương
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",2437655121,www.haui.edu.vn,TP. Hà Nội,7480201,Công nghệ thông tin,390,20.4,Bộ Công Thương
DCT,Trường Đại học Công nghiệp Thực phẩm tp. Hồ Chí Minh,"140 Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",(028) 38161673 - 104,tuyensinh.hufi.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,324,16.5,Bộ Công Thương
DCT,Trường Đại học Công nghiệp Thực phẩm tp. Hồ Chí Minh,"140 Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",(028) 38161673 - 104,tuyensinh.hufi.edu.vn,TP. Hồ Chí Minh,7480202,An toàn thông tin,72,16,Bộ Công Thương
DCV,Trường Đại học Công nghiệp Vinh,"Số 26, Đường Nguyễn Thái Học, TP Vinh, Nghệ An",0238 3540 216,www.iuv.edu.vn,Nghệ An,7480201,Công nghệ thông tin,100,13.5,Bộ Giáo Dục Và Đào Tạo
DDA,Trường Đại học Công nghệ Đông Á,"Khu Xuân Ổ A, Phường Võ Cường, TP Bắc Ninh, Bắc Ninh",24.62627798,eaut.edu.vn,Bắc Ninh,7480201,Công nghệ thông tin,130,14,Bộ Giáo Dục Và Đào Tạo
DDB,Trường Đại học Thành Đông,"Số 3 Vũ Công Đán, Phường Tứ Minh, Hải Dương",03203 680 186,thanhdong.edu.vn,Hải Dương,7480201,Công nghệ thông tin,80,15.5,Bộ Giáo Dục Và Đào Tạo
DDD,Trường Đại học Đông Đô,"Km25, quốc lộ 6, Phú Nghĩa, Chương Mỹ, Hà Nội",24.3771996,www.hdiu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,80,15.5,Bộ Giáo Dục Và Đào Tạo
DDI,Khoa Công nghệ thông tin và truyền thông - Đại học Đà Nẵng,"Đô thị Đại học Đà Nẵng, đường Nam Kỳ Khởi Nghĩa, Đà Nẵng",2366552688,sict.udn.vn,Đà Nẵng,7480201,Công nghệ thông tin,80,17,Bộ Giáo Dục Và Đào Tạo
DDI,Khoa Công nghệ thông tin và truyền thông - Đại học Đà Nẵng,"Đô thị Đại học Đà Nẵng, đường Nam Kỳ Khởi Nghĩa, Đà Nẵng",2366552688,sict.udn.vn,Đà Nẵng,7480201DT,Công nghệ thông tin (Đào tạo đặc thù),240,16.55,Bộ Giáo Dục Và Đào Tạo
DDI,Khoa Công nghệ thông tin và truyền thông - Đại học Đà Nẵng,"Đô thị Đại học Đà Nẵng, đường Nam Kỳ Khởi Nghĩa, Đà Nẵng",2366552688,sict.udn.vn,Đà Nẵng,7480108,Công nghệ thông tin,100,15.5,Bộ Giáo Dục Và Đào Tạo
DDK,Trường Đại họ̣c Bách khoa - Đại học Đà Nẵng,"54 Nguyễn Lương Bằng, phường Hòa Khánh, quận Liên Chiểu, Đà Nẵng",0868.924.555,www.dut.udn.vn,Đà Nẵng,7480201,Công nghệ thông tin,150,23,Bộ Giáo Dục Và Đào Tạo
DDK,Trường Đại họ̣c Bách khoa - Đại học Đà Nẵng,"54 Nguyễn Lương Bằng, phường Hòa Khánh, quận Liên Chiểu, Đà Nẵng",0868.924.555,www.dut.udn.vn,Đà Nẵng,7480201DT,Công nghệ thông tin (Đào tạo đặc thù),90,20,Bộ Giáo Dục Và Đào Tạo
DDK,Trường Đại họ̣c Bách khoa - Đại học Đà Nẵng,"54 Nguyễn Lương Bằng, phường Hòa Khánh, quận Liên Chiểu, Đà Nẵng",0868.924.555,www.dut.udn.vn,Đà Nẵng,7480201CLC,Công nghệ thông tin (Chất lượng cao),45,20.6,Bộ Giáo Dục Và Đào Tạo
DDL,Trường Đại học Điện lực,"Số 235, Hoàng Quốc Việt, Bắc Từ Liêm, Hà Nội",2422452662,www.epu.edu.vn,Hà Nội,7480201,Công nghệ thông tin,40,16,Bộ Công Thương
DDM,Trường Đại học Công nghiệp Quảng Ninh,"Xã Yên Thọ, Thị xã Đông Triều,Tnh Quảng Ninh",2033871292,qui.edu.vn,Tnh Quảng Ninh,7480201,Công nghệ thông tin,40,13,Bộ Công Thương
DDN,Trường Đại học Đại Nam,"Số 1, phố Xốm, phường Phú Lãm, Hà Đông, Hà Nội",2435577799,www.dainam.edu.vn,Hà Nội,7480201,Công nghệ thông tin,100,14.5,Bộ Giáo Dục Và Đào Tạo
DDP,Phân hiệu Đại học Đà Nẵng tại KonTum,"704 Phan Đình Phùng, Quang Trung, Kon Tum",0260 3913 029,kontum.udn.vn,Kon Tum,7480201,Công nghệ thông tin,40,14.3,Bộ Giáo Dục Và Đào Tạo
DDS,Trường Đại họ̣c Sư phạm - Đại học Đà Nẵng,"số 459 đường Tôn Đức Thắng, quận Liên Chiểu, TP. Đà Nẵng",0236 3841 323,ued.udn.vn,TP. Đà Nẵng,7480201,Công nghệ thông tin,290,15,Bộ Giáo Dục Và Đào Tạo
DDS,Trường Đại họ̣c Sư phạm - Đại học Đà Nẵng,"số 459 đường Tôn Đức Thắng, quận Liên Chiểu, TP. Đà Nẵng",0236 3841 323,ued.udn.vn,TP. Đà Nẵng,7480201DT,Công nghệ thông tin (Đào tạo đặc thù),300,22.25,Bộ Giáo Dục Và Đào Tạo
DDS,Trường Đại họ̣c Sư phạm - Đại học Đà Nẵng,"số 459 đường Tôn Đức Thắng, quận Liên Chiểu, TP. Đà Nẵng",0236 3841 323,ued.udn.vn,TP. Đà Nẵng,7480201CLC,Công nghệ thông tin (Chất lượng cao),100,15.1,Bộ Giáo Dục Và Đào Tạo
DDT,Trường Đại học Duy Tân,"254 Nguyễn Văn Linh, Thạc Gián, Thanh Khê, Đà Nẵng",(0236) 3653561,www.duytan.edu.vn,Đà Nẵng,7480103,Kỹ thuật Phần mềm,500,13,Bộ Giáo Dục Và Đào Tạo
DDV,Viện Nghiên cứu và Đào tạo Việt - Anh thuộc Đại học Đà Nẵng,"158A Lê Lợi, Quận Hải Châu 1, Đà Nẵng",0236 3738399,www.vnuk.udn.vn,Đà Nẵng,7480204,Khoa học và Kỹ thuật máy tính,40,19.3,Đại Học Đà Nẵng
DHP,Trường Đại học Dân lập Hải Phòng,"Số 36 - Đường Dân Lập, Phường Dư Hàng Kênh, Quận Lê Chân, Hải Phòng",02253.740.577,www.hpu.edu.vn,Hải Phòng,7480201,Công nghệ thông tin,150,15,Bộ Giáo Dục Và Đào Tạo
DHQ,Phân hiệu Đại học Huế tại Quảng Trị,"Đường Điện Biên Phủ, phường Đông Lương",233.3560661,phqt.hueuni.vn,phường Đông Lương,7480201,Công nghệ thông tin,50,13.5,Đại Học Huế
DHT,Trường Đại học Khoa học - Đại học Huế,"Số 77 Nguyễn Huệ, thành phố Huế, tỉnh Thừa Thiên Huế",2343823290,www.husc.edu.vn,tỉnh Thừa Thiên Huế,7480201,Công nghệ thông tin,250,13.5,Đại Học Huế
DHV,Trường Đại học Hùng Vương - tp. Hồ Chí Minh,"736 Nguyễn Trãi, Phường 11, Quận 5, TP. HCM",0283 8553675,www.hvuh.edu.vn,TP. HCM,7480201,Công nghệ thông tin,100,14,Bộ Giáo Dục Và Đào Tạo
DKB,Trường Đại học Kinh tế - Kỹ thuật Bình Dương,"530 Đại lộ Bình Dương, P. Hiệp Thành, Tp. Thủ Dầu Một, Bình Dương",(0274) 3822847,www.ktkt.edu.vn,Bình Dương,7480201,Công nghệ thông tin,78,14,Bộ Giáo Dục Và Đào Tạo
DKC,Trường Đại học Công nghệ Tp. Hồ Chí Minh,"475A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",028 35120783,www.hutech.edu.vn,TP. Hồ Chí Minh,7480201,Công nghệ thông tin,250,17,Bộ Giáo Dục Và Đào Tạo
DKC,Trường Đại học Công nghệ Tp. Hồ Chí Minh,"475A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",028 35120783,www.hutech.edu.vn,TP. Hồ Chí Minh,7480202,An toàn thông tin,100,16,Bộ Giáo Dục Và Đào Tạo
DKD,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (Cơ sở Nam Định),"Số 353 Trần Hưng Đạo, Phường Bà Triệu, Nam Định",(0228)3848706,www.uneti.edu.vn,Nam Định,7480201,Công nghệ thông tin,30,14,Bộ Công Thương
DKK,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (Cơ sở Hà Nội)," Số 353 Trần Hưng Đạo, Phường Bà Triệu, Nam Định",(0228)3848706,www.uneti.edu.vn,Nam Định,7480102,Mạng máy tính và truyền thông dữ liệu ,50,15.5,Bộ Công Thương
