MaTruong,TenTruong,DiaChi,Website,TinhThanh,DVChuQuan
BVH,Học viện Công nghệ Bưu chính Viễn thông,"123 Hoàng Quốc Việt, Q.Cầu Giấy, Hà Nội",ptit.edu.vn,Hà Nội,Bộ Thông Tin Và Truyền Thông 
BVS,Học viện Công nghệ Bưu chính Viễn thông - Cơ sở 2,"12 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",hcm.ptit.edu.vn,TP. Hồ Chí Minh,Bộ Thông Tin Và Truyền Thông 
BVU,Trường Đại học Bà Rịa - Vũng Tàu,"80 Trương Công Định, Phường 3, Tp. Vũng Tàu, Bà Rịa-Vũng Tàu",bvu.edu.vn,Bà Rịa-Vũng Tàu,Bộ Giáo Dục Và Đào Tạo
DAD,Trường Đại học Đông Á,"33 Xô Viết Nghệ Tỉnh, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",donga.edu.vn,Đà Nẵng,Bộ Giáo Dục Và Đào Tạo
DBD,Trường Đại học Bình Dương,"504 Đại lộ Bình Dương, Phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương",www.bdu.edu.vn,Bình Dương,Bộ Giáo Dục Và Đào Tạo
DBH,Trường Đại học Quốc tế Bắc Hà,"Thị trấn Lim, huyện Tiên Du, Bắc Ninh",www.bhiu.edu.vn,Bắc Ninh,Bộ Giáo Dục Và Đào Tạo
DBL,Trường Đại học Bạc Liêu,"Số 178, đường Võ Thị Sáu, phường 8, thành phố Bạc Liêu, Bạc Liêu",blu.edu.vn,Bạc Liêu,UBND Tỉnh Bạc Liêu
DCA,Trường Đại học Chu Văn An,"Khu Đô thị đại học Phố Hiến, phường Hiến Nam, TP Hưng Yên, Hưng Yên",www.cvauni.edu.vn,Hưng Yên,Bộ Giáo Dục Và Đào Tạo
DCD,Trường Đại học Công nghệ Đồng Nai,"Đường Nguyễn Khuyến, KP5, phường Trảng Dài, TP. Biên Hòa, Đồng Nai",dntu.edu.vn,Đồng Nai,Bộ Giáo Dục Và Đào Tạo
DCL,Trường Đại học Cửu Long,"QL 1A, Phú Quới, Long Hồ, Vĩnh Long",www.mku.edu.vn,Vĩnh Long,Bộ Giáo Dục Và Đào Tạo
