MaTruong,MaNganh,DiemChuan,ChiTieu
BVH,7480201,22.0,650
BVH,7480202,20.8,250
BVS,7480201,20.25,210
BVS,7480202,19.0,80
BVU,7480201,15.5,150
DAD,7480201,14.0,60
DBD,7480201,13.5,90
DBH,7480201,15.5,30
DBL,7480201,15.0,60
DCA,7480201,15.0,40
DCD,7480201,14.0,200
DCL,7480201,13.0,80
DCN,7480101,18.75,120
DCN,7480101_QT,16.85,20
DCN,7480102,16.6,70
DCN,7480103,18.95,220
DCN,7480104,18.0,120
DCN,7480108,18.3,130
DCN,7480201,20.4,390
DCT,7480201,16.5,324
DCT,7480202,16.0,72
DCV,7480201,13.5,100
DDA,7480201,14.0,130
DDB,7480201,15.5,80
DDD,7480201,15.5,80
DDI,7480201,17.0,80
DDI,7480201DT,16.55,240
DDI,7480108,15.5,100
DDK,7480201,23.0,150
DDK,7480201DT,20.0,90
DDK,7480201CLC,20.6,45
DDL,7480201,16.0,40
DDM,7480201,13.0,40
DDN,7480201,14.5,100
DDP,7480201,14.3,40
DDS,7480201,15.0,290
DDS,7480201DT,22.25,300
DDS,7480201CLC,15.1,100
DDT,7480103,13.0,500
DDV,7480204,19.3,40
DHP,7480201,15.0,150
DHQ,7480201,13.5,50
DHT,7480201,13.5,250
DHV,7480201,14.0,100
DKB,7480201,14.0,78
DKC,7480201,17.0,250
DKC,7480202,16.0,100
DKD,7480201,14.0,30
DKK,7480102,15.5,50
DKK,7480201,18.5,70
DKT,7480201,13.0,50
DLA,7480101,15.0,118
DLH,7480201,14.0,100
DNC,7480201,15.5,160
DNT,7480201,18.25,330
DNV,7480104,14.5,120
DNV,7480104D,15.0,80
DPC,7480201,15.0,60
DPD,7480201,14.0,180
DPQ,7480201,14.0,120
DPT,7480201,14.0,75
DPX,7480201,15.5,40
DPY,7480201,0.0,75
DQB,7480201,14.0,50
DQB,7480103,14.0,50
DQH,7480201,21.7,70
DQH,7480101,20.0,50
DQK,7480201,15.0,600
DQN,7480201,18.0,200
DQN,7480103,18.0,150
DQT,7480201,13.0,150
DQU,7480201,13.0,200
DSG,7480201,16.5,300
DSK,7480201,17.5,145
DTA,7480101,13.0,40
DTC,7480101,13.0,50
DTC,7480102,13.0,60
DTC,7480103,13.0,150
DTC,7480104,13.0,50
DTC,7480108,13.0,60
DTC,7480201,14.0,260
DTC,7480202,13.0,60
DTD,7480201,14.0,100
DTH,7480102,14.0,60
DTH,7480201,16.5,200
DTK,7480106,15.5,51
DTL,7480101,15.0,120
DTL,7480102,15.0,60
DTL,7480104,15.0,50
DTM,7480104,15.0,50
DTM,7480201,15.5,100
DTT,7480101,19.75,120
DTT,7480102,19.75,80
DTT,7480103,20.75,80
DTV,7480201,15.5,100
DVB,7480102,14.0,50
DVB,7480201,14.0,100
DVH,7480201,14.1,80
DVL,7480103,15.5,130
DVL,7480201,0.0,95
DVT,7480102,14.0,100
DVT,7480201,14.0,90
DVX,7480201,13.0,60
